# period_linear = 1.0914170162987282
# epoch_linear = 2457607.5201059147
# transit_number,transit_midtime_median,transit_midtime_lerr,transit_midtime_uerr,o_minus_c,o_minus_c_lerr,o_minus_c_uerr
1132.0000000,2458843.0025485,0.0002390,0.0000651,-0.0016199,0.0002390,0.0000651
1133.0000000,2458844.0970209,0.0000691,0.0000518,0.0014355,0.0000691,0.0000518
1134.0000000,2458845.1830430,0.0002561,0.0000786,-0.0039594,0.0002561,0.0000786
1135.0000000,2458846.2789458,0.0000533,0.0000954,0.0005263,0.0000533,0.0000954
1136.0000000,2458847.3734082,0.0000412,0.0001628,0.0035717,0.0000412,0.0001628
1137.0000000,2458848.4622692,0.0001240,0.0000273,0.0010157,0.0001240,0.0000273
1138.0000000,2458849.5512602,0.0000485,0.0001082,-0.0014102,0.0000485,0.0001082
1139.0000000,2458850.6413850,0.0001757,0.0000439,-0.0027025,0.0001757,0.0000439
1140.0000000,2458851.7344733,0.0002033,0.0000639,-0.0010312,0.0002033,0.0000639
1141.0000000,2458852.8191863,0.0000354,0.0000876,-0.0077352,0.0000354,0.0000876
1142.0000000,2458853.9162972,0.0002029,0.0000725,-0.0020414,0.0002029,0.0000725
1143.0000000,nan,nan,nan,nan,nan,nan
1146.0000000,2458858.2899600,0.0001262,0.0000731,0.0059534,0.0001262,0.0000731
1147.0000000,2458859.3746794,0.0000665,0.0000549,-0.0007443,0.0000665,0.0000549
1148.0000000,2458860.4732105,0.0000367,0.0000904,0.0063698,0.0000367,0.0000904
1149.0000000,2458861.5564950,0.0001200,0.0000323,-0.0017626,0.0001200,0.0000323
1150.0000000,2458862.6523356,0.0000485,0.0000844,0.0026609,0.0000485,0.0000844
1151.0000000,2458863.7411948,0.0000424,0.0001831,0.0001031,0.0000424,0.0001831
1152.0000000,2458864.8300774,0.0001327,0.0000513,-0.0024313,0.0001327,0.0000513
1153.0000000,2458865.9271699,0.0001300,0.0000283,0.0032442,0.0001300,0.0000283
1154.0000000,2458867.0063967,0.0000995,0.0000361,-0.0089460,0.0000995,0.0000361
1155.0000000,2458868.1063067,0.0001203,0.0000350,-0.0004530,0.0001203,0.0000350
1711.0000000,2459474.9371609,0.0000308,0.0001005,0.0025401,0.0000308,0.0001005
1712.0000000,2459476.0260946,0.0000352,0.0001993,0.0000568,0.0000352,0.0001993
1713.0000000,2459477.1122250,0.0001852,0.0000526,-0.0052298,0.0001852,0.0000526
1714.0000000,2459478.2026898,0.0000566,0.0000330,-0.0061820,0.0000566,0.0000330
1715.0000000,2459479.3041621,0.0002576,0.0000633,0.0038732,0.0002576,0.0000633
1716.0000000,2459480.3973187,0.0000754,0.0000710,0.0056128,0.0000754,0.0000710
1717.0000000,2459481.4753085,0.0000427,0.0002032,-0.0078144,0.0000427,0.0002032
1718.0000000,2459482.5725912,0.0000789,0.0000743,-0.0019487,0.0000789,0.0000743
1719.0000000,2459483.6615956,0.0001216,0.0000471,-0.0043613,0.0001216,0.0000471
1720.0000000,2459484.7602746,0.0001931,0.0000444,0.0029007,0.0001931,0.0000444
1723.0000000,2459488.0314908,0.0000572,0.0001043,-0.0001342,0.0000572,0.0001043
1724.0000000,2459489.1218007,0.0000256,0.0001374,-0.0012413,0.0000256,0.0001374
1725.0000000,2459490.2107942,0.0000855,0.0000686,-0.0036649,0.0000855,0.0000686
1726.0000000,2459491.3040079,0.0000796,0.0000956,-0.0018681,0.0000796,0.0000956
1727.0000000,2459492.4013115,0.0001414,0.0000434,0.0040185,0.0001414,0.0000434
1728.0000000,2459493.4902802,0.0000301,0.0000884,0.0015702,0.0000301,0.0000884
1729.0000000,2459494.5835267,0.0000661,0.0001537,0.0033996,0.0000661,0.0001537
1730.0000000,2459495.6725176,0.0000331,0.0000970,0.0009735,0.0000331,0.0000970
1731.0000000,2459496.7628580,0.0000377,0.0001331,-0.0001031,0.0000377,0.0001331
1732.0000000,2459497.8518102,0.0001793,0.0000654,-0.0025679,0.0001793,0.0000654
1735.0000000,2459501.1340373,0.0002201,0.0000605,0.0054081,0.0002201,0.0000605
1736.0000000,2459502.2217104,0.0000648,0.0001000,0.0016642,0.0000648,0.0001000
1737.0000000,2459503.3105824,0.0001159,0.0000433,-0.0008809,0.0001159,0.0000433
1738.0000000,2459504.4037991,0.0001204,0.0000527,0.0009188,0.0001204,0.0000527
1739.0000000,2459505.4900547,0.0000908,0.0000334,-0.0042425,0.0000908,0.0000334
1740.0000000,2459506.5831333,0.0001700,0.0000552,-0.0025810,0.0001700,0.0000552
1741.0000000,2459507.6805423,0.0000452,0.0001894,0.0034111,0.0000452,0.0001894
1742.0000000,2459508.7777917,0.0002289,0.0000409,0.0092434,0.0002289,0.0000409
1743.0000000,2459509.8529251,0.0001694,0.0000455,-0.0070403,0.0001694,0.0000455
1744.0000000,2459510.9516968,0.0000612,0.0001314,0.0003144,0.0000612,0.0001314
1747.0000000,2459514.2214730,0.0000374,0.0001331,-0.0041604,0.0000374,0.0001331
1748.0000000,2459515.3160021,0.0000546,0.0002092,-0.0010483,0.0000546,0.0002092
1749.0000000,2459516.4104891,0.0000348,0.0001099,0.0020217,0.0000348,0.0001099
1750.0000000,2459517.5009701,0.0000780,0.0002258,0.0010857,0.0000780,0.0002258
1751.0000000,2459518.5898027,0.0000462,0.0000502,-0.0014987,0.0000462,0.0000502
1752.0000000,2459519.6802875,0.0000729,0.0003469,-0.0024310,0.0000729,0.0003469
1753.0000000,2459520.7789200,0.0001137,0.0000356,0.0047845,0.0001137,0.0000356
1754.0000000,2459521.8623221,0.0001611,0.0000412,-0.0032304,0.0001611,0.0000412
1755.0000000,2459522.9596721,0.0001041,0.0000798,0.0027026,0.0001041,0.0000798
1756.0000000,2459524.0458167,0.0000417,0.0000954,-0.0025698,0.0000417,0.0000954
1758.0000000,2459526.2376006,0.0001144,0.0000364,0.0063801,0.0001144,0.0000364
1759.0000000,2459527.3210878,0.0000409,0.0002011,-0.0015497,0.0000409,0.0002011
1760.0000000,2459528.4211950,0.0000576,0.0000927,0.0071404,0.0000576,0.0000927
1761.0000000,2459529.5074081,0.0000512,0.0000699,0.0019364,0.0000512,0.0000699
1762.0000000,2459530.6005674,0.0000482,0.0001761,0.0036788,0.0000482,0.0001761
1763.0000000,2459531.6908022,0.0001049,0.0000380,0.0024966,0.0001049,0.0000380
1764.0000000,2459532.7852936,0.0001851,0.0000486,0.0055709,0.0001851,0.0000486
1765.0000000,2459533.8673130,0.0001714,0.0000473,-0.0038267,0.0001714,0.0000473
1766.0000000,2459534.9688562,0.0001280,0.0000305,0.0062995,0.0001280,0.0000305
1767.0000000,2459536.0550131,0.0000732,0.0001060,0.0010394,0.0000732,0.0001060
1768.0000000,2459537.1508717,0.0001338,0.0000408,0.0054809,0.0001338,0.0000408
1771.0000000,2459540.4191823,0.0001295,0.0000291,-0.0004595,0.0001295,0.0000291
1772.0000000,2459541.5108307,0.0001813,0.0000525,-0.0002281,0.0001813,0.0000525
1773.0000000,2459542.6026055,0.0000957,0.0000920,0.0001297,0.0000957,0.0000920
